
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.63608086e+00, 5.44168390e-02, 0.00000000e+00, 2.43070841e+00, 5.22981524e-01, -3.46754165e-03
-1.66599822e+00, 5.47020845e-02, 0.00000000e+00, 2.43321133e+00, 5.22064328e-01, -3.15071829e-03
-1.65055263e+00, 7.96714053e-02, 0.00000000e+00, 2.43210506e+00, 6.92906857e-01, -5.91607019e-03
-2.24737954e+00, 6.02452159e-02, 0.00000000e+00, 2.46928430e+00, 5.46880424e-01, -1.73392310e-03
-2.27693272e+00, 1.00263402e-01, 0.00000000e+00, 2.47072864e+00, 7.67695427e-01, -3.25467950e-03
-1.81558502e+00, 5.61283082e-02, 0.00000000e+00, 2.44500971e+00, 5.20985901e-01, -1.62702077e-03
-1.84550238e+00, 5.64135499e-02, 0.00000000e+00, 2.44725776e+00, 5.21474004e-01, -1.37016876e-03
-1.82979763e+00, 8.16057101e-02, 0.00000000e+00, 2.44620776e+00, 6.87512398e-01, -3.08892829e-03
-1.97840261e+00, 8.50296468e-02, 0.00000000e+00, 2.45650220e+00, 6.96530342e-01, -1.82182854e-03
-2.00935435e+00, 8.75377133e-02, 0.00000000e+00, 2.45843649e+00, 7.08914757e-01, -2.11180700e-03
-1.99050200e+00, 1.14268519e-01, 0.00000000e+00, 2.45715094e+00, 8.64366293e-01, -4.29210393e-03
-2.29744864e+00, 6.07225969e-02, 0.00000000e+00, 2.47146106e+00, 5.48801482e-01, -1.98215107e-03
-2.32461929e+00, 1.01186000e-01, 0.00000000e+00, 2.47246790e+00, 7.70964503e-01, -3.11518158e-03
-1.79992533e+00, 8.12561810e-02, 0.00000000e+00, 2.44396257e+00, 6.87871695e-01, -3.52499261e-03
-1.81412768e+00, 1.06741920e-01, 0.00000000e+00, 2.44532609e+00, 8.40143561e-01, -5.87809924e-03
-2.10104752e+00, 5.88500239e-02, 0.00000000e+00, 2.46387625e+00, 5.40788770e-01, -2.19671428e-03
-2.12195778e+00, 9.42072347e-02, 0.00000000e+00, 2.46459103e+00, 7.39863098e-01, -3.00454139e-03
-2.13904691e+00, 1.30796149e-01, 0.00000000e+00, 2.46532559e+00, 9.44989920e-01, -5.01662120e-03
-1.62068176e+00, 7.93785006e-02, 0.00000000e+00, 2.42957735e+00, 6.94587409e-01, -6.41976204e-03
-1.63514972e+00, 1.04619682e-01, 0.00000000e+00, 2.43117595e+00, 8.49729657e-01, -9.44386609e-03
-2.34751797e+00, 6.11999743e-02, 0.00000000e+00, 2.47331715e+00, 5.50590336e-01, -1.98185304e-03
-2.37340760e+00, 1.02336273e-01, 0.00000000e+00, 2.47417665e+00, 7.75651217e-01, -3.11909686e-03
-1.75575030e+00, 5.55578172e-02, 0.00000000e+00, 2.44040823e+00, 5.20721078e-01, -2.21244269e-03
-1.78566766e+00, 5.58430627e-02, 0.00000000e+00, 2.44272590e+00, 5.20738840e-01, -1.91218243e-03
-1.77004635e+00, 8.09264481e-02, 0.00000000e+00, 2.44167566e+00, 6.88492656e-01, -3.98129784e-03
-2.08099723e+00, 9.20268595e-02, 0.00000000e+00, 2.46232367e+00, 7.30248749e-01, -2.66262610e-03
-2.06048226e+00, 1.23797759e-01, 0.00000000e+00, 2.46116567e+00, 9.11895931e-01, -4.81680082e-03
-2.04326916e+00, 8.99577960e-02, 0.00000000e+00, 2.46036530e+00, 7.20666230e-01, -2.39793351e-03
-2.09929967e+00, 1.27113372e-01, 0.00000000e+00, 2.46312809e+00, 9.27362561e-01, -4.89275297e-03
-1.78429890e+00, 1.06335975e-01, 0.00000000e+00, 2.44308209e+00, 8.41167927e-01, -6.40704622e-03
-1.75446188e+00, 1.05964877e-01, 0.00000000e+00, 2.44079423e+00, 8.42482448e-01, -6.97029289e-03
-1.69591558e+00, 5.49873300e-02, 0.00000000e+00, 2.43565726e+00, 5.21385193e-01, -2.83489074e-03
-1.72583294e+00, 5.52725717e-02, 0.00000000e+00, 2.43805385e+00, 5.20937443e-01, -2.52125645e-03
-1.71029842e+00, 8.02845359e-02, 0.00000000e+00, 2.43698549e+00, 6.90278530e-01, -4.93177958e-03
-1.87541974e+00, 5.66987954e-02, 0.00000000e+00, 2.44946337e+00, 5.22263348e-01, -1.16388022e-03
-1.90533710e+00, 5.69840409e-02, 0.00000000e+00, 2.45163441e+00, 5.23441672e-01, -1.03507005e-03
-1.88949132e+00, 8.23280513e-02, 0.00000000e+00, 2.45052600e+00, 6.87280118e-01, -2.29921867e-03
-1.99508917e+00, 5.78397736e-02, 0.00000000e+00, 2.45793962e+00, 5.31109452e-01, -1.10398815e-03
