
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Total Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-2.47109938e+00, 1.89285010e-01, 0.00000000e+00, 2.47757649e+00, 3.24645281e+00, 1.24004686e+00, -6.05232269e-03
-2.49658275e+00, 1.47504777e-01, 0.00000000e+00, 2.47814965e+00, 3.00019813e+00, 1.02180064e+00, -4.52790968e-03
-2.52053905e+00, 1.90994978e-01, 0.00000000e+00, 2.47905684e+00, 3.25648952e+00, 1.24692893e+00, -5.82566019e-03
-1.91767192e+00, 1.33721709e-01, 0.00000000e+00, 2.45316696e+00, 2.93356800e+00, 9.80178952e-01, -7.14555802e-03
-1.79847574e+00, 1.31818369e-01, 0.00000000e+00, 2.44467497e+00, 2.92812896e+00, 9.83272016e-01, -9.16435570e-03
-1.59001267e+00, 1.29239455e-01, 0.00000000e+00, 2.42793489e+00, 2.92550516e+00, 9.97465670e-01, -1.42462347e-02
-1.61978781e+00, 1.29540265e-01, 0.00000000e+00, 2.43049717e+00, 2.92523551e+00, 9.94633794e-01, -1.34240547e-02
-1.60446417e+00, 1.54421493e-01, 0.00000000e+00, 2.42996836e+00, 3.06906891e+00, 1.13043809e+00, -1.76200494e-02
-1.57474124e+00, 1.54116809e-01, 0.00000000e+00, 2.42740059e+00, 3.06985092e+00, 1.13338196e+00, -1.86030008e-02
-1.58918166e+00, 1.79261267e-01, 0.00000000e+00, 2.42970300e+00, 3.22179294e+00, 1.25845242e+00, -2.18487121e-02
-2.57021689e+00, 1.92436486e-01, 0.00000000e+00, 2.48045659e+00, 3.26497579e+00, 1.25260031e+00, -5.58070326e-03
-2.54624724e+00, 1.48784533e-01, 0.00000000e+00, 2.47958207e+00, 3.00710940e+00, 1.02714908e+00, -4.42132307e-03
-2.59608006e+00, 1.49875522e-01, 0.00000000e+00, 2.48094058e+00, 3.01306224e+00, 1.03161275e+00, -4.29278193e-03
-1.75312996e+00, 1.56335115e-01, 0.00000000e+00, 2.44190073e+00, 3.06940651e+00, 1.12019408e+00, -1.33021865e-02
-1.72339547e+00, 1.55901447e-01, 0.00000000e+00, 2.43961954e+00, 3.06879330e+00, 1.12167239e+00, -1.40878884e-02
-1.73891318e+00, 1.30957633e-01, 0.00000000e+00, 2.44014716e+00, 2.92629480e+00, 9.85994816e-01, -1.04490491e-02
-1.76869929e+00, 1.31365046e-01, 0.00000000e+00, 2.44243455e+00, 2.92705321e+00, 9.84449863e-01, -9.78619419e-03
-1.78282619e+00, 1.56823665e-01, 0.00000000e+00, 2.44413328e+00, 3.07046175e+00, 1.11915100e+00, -1.25592593e-02
-1.85810900e+00, 1.32845461e-01, 0.00000000e+00, 2.44901156e+00, 2.93111038e+00, 9.81902599e-01, -8.06619320e-03
-1.93261778e+00, 1.59425408e-01, 0.00000000e+00, 2.45454621e+00, 3.07827830e+00, 1.11685908e+00, -9.49274376e-03
-1.90232575e+00, 1.59365907e-01, 0.00000000e+00, 2.45260620e+00, 3.07926464e+00, 1.11947119e+00, -1.00443829e-02
-1.69367051e+00, 1.55500725e-01, 0.00000000e+00, 2.43728948e+00, 3.06849217e+00, 1.12346923e+00, -1.49135487e-02
-1.66392970e+00, 1.55117854e-01, 0.00000000e+00, 2.43490624e+00, 3.06841969e+00, 1.12551248e+00, -1.57771930e-02
-1.67934978e+00, 1.30210668e-01, 0.00000000e+00, 2.43543029e+00, 2.92537737e+00, 9.89824891e-01, -1.18747884e-02
-1.82828724e+00, 1.32301077e-01, 0.00000000e+00, 2.44686699e+00, 2.92942119e+00, 9.82361853e-01, -8.58701393e-03
