"Points:0","Points:1","Points:2","Pressure","Velocity:0","Velocity:1"
9.85870743e+00, 4.79698986e-01, 0.00000000e+00, 3.30125093e-01, 7.13728189e-01, 1.12087881e-04
9.85957527e+00, 4.90557671e-01, 0.00000000e+00, 3.29988360e-01, 3.43960226e-01, 3.42006533e-05
9.86032963e+00, 5.00000000e-01, 0.00000000e+00, 3.29867631e-01, 7.18556251e-03, -1.24640137e-05
9.80784035e+00, 4.67302859e-01, 0.00000000e+00, 3.38386476e-01, 1.11283028e+00, 1.87834929e-04
9.80886173e+00, 4.79755551e-01, 0.00000000e+00, 3.38216603e-01, 7.11478591e-01, 1.29155087e-04
9.80974960e+00, 4.90583986e-01, 0.00000000e+00, 3.38076025e-01, 3.42705488e-01, 4.41686025e-05
9.81052208e+00, 5.00000000e-01, 0.00000000e+00, 3.37953657e-01, 7.06810411e-03, -1.42664130e-05
9.75797176e+00, 4.67394233e-01, 0.00000000e+00, 3.46361786e-01, 1.10988986e+00, 1.64158875e-04
9.75901604e+00, 4.79812145e-01, 0.00000000e+00, 3.46191138e-01, 7.09252596e-01, 1.42124947e-04
9.75992393e+00, 4.90610301e-01, 0.00000000e+00, 3.46048266e-01, 3.41410756e-01, 6.30640425e-05
9.76071453e+00, 5.00000000e-01, 0.00000000e+00, 3.45924854e-01, 6.90892432e-03, -1.02826471e-05
9.70810223e+00, 4.67485607e-01, 0.00000000e+00, 3.54190230e-01, 1.10713923e+00, 1.24092476e-04
9.70917034e+00, 4.79868710e-01, 0.00000000e+00, 3.53994250e-01, 7.07151949e-01, 1.44588936e-04
9.71009922e+00, 4.90636617e-01, 0.00000000e+00, 3.53839159e-01, 3.40132654e-01, 9.14109842e-05
9.71090603e+00, 5.00000000e-01, 0.00000000e+00, 3.53710562e-01, 6.70521194e-03, 8.38012602e-06
8.65700912e+00, 4.40594405e-01, 0.00000000e+00, 5.21122217e-01, 1.92084694e+00, -6.66180276e-04
8.60708237e+00, 4.40771818e-01, 0.00000000e+00, 5.29429734e-01, 1.91786456e+00, -7.09313783e-04
8.55715561e+00, 4.40949261e-01, 0.00000000e+00, 5.37620187e-01, 1.91491604e+00, -7.67820515e-04
8.50722980e+00, 4.41126674e-01, 0.00000000e+00, 5.45742452e-01, 1.91202426e+00, -8.03036499e-04
8.45730305e+00, 4.41304117e-01, 0.00000000e+00, 5.53841889e-01, 1.90915489e+00, -8.17417982e-04
8.40737724e+00, 4.41481531e-01, 0.00000000e+00, 5.61896145e-01, 1.90630889e+00, -8.21551075e-04
8.35745049e+00, 4.41658974e-01, 0.00000000e+00, 5.69828093e-01, 1.90351832e+00, -7.78465474e-04
8.30752373e+00, 4.41836387e-01, 0.00000000e+00, 5.77675819e-01, 1.90076089e+00, -6.50961068e-04
8.25759792e+00, 4.42013830e-01, 0.00000000e+00, 5.85801780e-01, 1.89790869e+00, -5.27983531e-04
8.20767117e+00, 4.42191243e-01, 0.00000000e+00, 5.94148397e-01, 1.89485312e+00, -8.68061616e-04
8.15774536e+00, 4.42368686e-01, 0.00000000e+00, 6.01803839e-01, 1.89175129e+00, -1.67265197e-03
8.10781860e+00, 4.42546099e-01, 0.00000000e+00, 6.08909607e-01, 1.88876486e+00, -1.91055273e-03
8.05789280e+00, 4.42723542e-01, 0.00000000e+00, 6.16696000e-01, 1.88562441e+00, -1.00740185e-03
8.00796604e+00, 4.42900956e-01, 0.00000000e+00, 6.24853075e-01, 1.88220525e+00, -5.18595043e-04
7.95803976e+00, 4.43078399e-01, 0.00000000e+00, 6.32709444e-01, 1.87898684e+00, -2.96160346e-04
7.90811348e+00, 4.43255812e-01, 0.00000000e+00, 6.41000748e-01, 1.87593389e+00, -4.12817735e-06
